"file","nb_read_pairs","sample_ID","tags"
"16SV4_revcomp/16S_F515DI10-16S_R806DI10.R1.fastq.gz",41519,"D1H_d3_r5","F10 R10"
"16SV4_revcomp/16S_F515DI10-16S_R806DI11.R1.fastq.gz",133842,"D20H_d5_r1","F10 R11"
"16SV4_revcomp/16S_F515DI10-16S_R806DI12.R1.fastq.gz",5455,"unused_tags_26","F10 R12"
"16SV4_revcomp/16S_F515DI10-16S_R806DI1.R1.fastq.gz",133221,"D1H_d4_r2","F10 R1"
"16SV4_revcomp/16S_F515DI10-16S_R806DI2.R1.fastq.gz",11118,"unused_tags_14","F10 R2"
"16SV4_revcomp/16S_F515DI10-16S_R806DI3.R1.fastq.gz",208091,"D1H_d3_r3","F10 R3"
"16SV4_revcomp/16S_F515DI10-16S_R806DI4.R1.fastq.gz",54585,"D_d1_r1","F10 R4"
"16SV4_revcomp/16S_F515DI10-16S_R806DI5.R1.fastq.gz",147602,"D_d4_r2","F10 R5"
"16SV4_revcomp/16S_F515DI10-16S_R806DI6.R1.fastq.gz",122777,"D_d5_r5","F10 R6"
"16SV4_revcomp/16S_F515DI10-16S_R806DI7.R1.fastq.gz",11681,"HD_d3_r1","F10 R7"
"16SV4_revcomp/16S_F515DI10-16S_R806DI8.R1.fastq.gz",12218,"D_d3_r3","F10 R8"
"16SV4_revcomp/16S_F515DI10-16S_R806DI9.R1.fastq.gz",223834,"D10H_d2_r2","F10 R9"
"16SV4_revcomp/16S_F515DI11-16S_R806DI10.R1.fastq.gz",185321,"H_d1_r2","F11 R10"
"16SV4_revcomp/16S_F515DI11-16S_R806DI11.R1.fastq.gz",53954,"D_d1_r2","F11 R11"
"16SV4_revcomp/16S_F515DI11-16S_R806DI12.R1.fastq.gz",7525,"unused_tags_27","F11 R12"
"16SV4_revcomp/16S_F515DI11-16S_R806DI1.R1.fastq.gz",34607,"HD_d3_r5","F11 R1"
"16SV4_revcomp/16S_F515DI11-16S_R806DI2.R1.fastq.gz",175205,"D20H_d1_r5","F11 R2"
"16SV4_revcomp/16S_F515DI11-16S_R806DI3.R1.fastq.gz",24240,"unused_tags_15","F11 R3"
"16SV4_revcomp/16S_F515DI11-16S_R806DI4.R1.fastq.gz",91029,"D_d1_r4","F11 R4"
"16SV4_revcomp/16S_F515DI11-16S_R806DI5.R1.fastq.gz",207591,"D_d5_r1","F11 R5"
"16SV4_revcomp/16S_F515DI11-16S_R806DI6.R1.fastq.gz",149322,"D20H_d1_r4","F11 R6"
"16SV4_revcomp/16S_F515DI11-16S_R806DI7.R1.fastq.gz",198850,"D10H_d2_r1","F11 R7"
"16SV4_revcomp/16S_F515DI11-16S_R806DI8.R1.fastq.gz",182096,"D20H_d4_r3","F11 R8"
"16SV4_revcomp/16S_F515DI11-16S_R806DI9.R1.fastq.gz",206728,"HD_d5_r4","F11 R9"
"16SV4_revcomp/16S_F515DI1-16S_R806DI10.R1.fastq.gz",115129,"H_d3_r2","F1 R10"
"16SV4_revcomp/16S_F515DI1-16S_R806DI11.R1.fastq.gz",196813,"D_d2_r3","F1 R11"
"16SV4_revcomp/16S_F515DI1-16S_R806DI12.R1.fastq.gz",17895,"D_d3_r1","F1 R12"
"16SV4_revcomp/16S_F515DI1-16S_R806DI1.R1.fastq.gz",37883,"unused_tags_1","F1 R1"
"16SV4_revcomp/16S_F515DI1-16S_R806DI2.R1.fastq.gz",154656,"D1H_d1_r3","F1 R2"
"16SV4_revcomp/16S_F515DI1-16S_R806DI3.R1.fastq.gz",173051,"D1H_d1_r1","F1 R3"
"16SV4_revcomp/16S_F515DI1-16S_R806DI4.R1.fastq.gz",102167,"HD_d4_r5","F1 R4"
"16SV4_revcomp/16S_F515DI1-16S_R806DI5.R1.fastq.gz",33305,"H_d3_r5","F1 R5"
"16SV4_revcomp/16S_F515DI1-16S_R806DI6.R1.fastq.gz",149363,"HD_d4_r3","F1 R6"
"16SV4_revcomp/16S_F515DI1-16S_R806DI7.R1.fastq.gz",177392,"HD_d5_r5","F1 R7"
"16SV4_revcomp/16S_F515DI1-16S_R806DI8.R1.fastq.gz",135679,"H_d3_r1","F1 R8"
"16SV4_revcomp/16S_F515DI1-16S_R806DI9.R1.fastq.gz",193821,"D_d5_r2","F1 R9"
"16SV4_revcomp/16S_F515DI12-16S_R806DI10.R1.fastq.gz",166266,"H_d1_r4","F12 R10"
"16SV4_revcomp/16S_F515DI12-16S_R806DI11.R1.fastq.gz",140456,"D10H_d3_r3","F12 R11"
"16SV4_revcomp/16S_F515DI12-16S_R806DI12.R1.fastq.gz",2473,"unused_tags_28","F12 R12"
"16SV4_revcomp/16S_F515DI12-16S_R806DI1.R1.fastq.gz",196237,"D_d4_r4","F12 R1"
"16SV4_revcomp/16S_F515DI12-16S_R806DI2.R1.fastq.gz",183213,"H_d1_r3","F12 R2"
"16SV4_revcomp/16S_F515DI12-16S_R806DI3.R1.fastq.gz",178318,"H_d1_r5","F12 R3"
"16SV4_revcomp/16S_F515DI12-16S_R806DI4.R1.fastq.gz",6221,"unused_tags_16","F12 R4"
"16SV4_revcomp/16S_F515DI12-16S_R806DI5.R1.fastq.gz",116105,"D10H_d5_r4","F12 R5"
"16SV4_revcomp/16S_F515DI12-16S_R806DI6.R1.fastq.gz",64436,"D1H_d4_r4","F12 R6"
"16SV4_revcomp/16S_F515DI12-16S_R806DI7.R1.fastq.gz",167191,"D1H_d5_r4","F12 R7"
"16SV4_revcomp/16S_F515DI12-16S_R806DI8.R1.fastq.gz",163394,"D_d2_r1","F12 R8"
"16SV4_revcomp/16S_F515DI12-16S_R806DI9.R1.fastq.gz",18592,"D10H_d5_r2","F12 R9"
"16SV4_revcomp/16S_F515DI13-16S_R806DI10.R1.fastq.gz",124964,"HDSynCom_Inoc","F13 R10"
"16SV4_revcomp/16S_F515DI13-16S_R806DI11.R1.fastq.gz",10723,"unused_tags_23","F13 R11"
"16SV4_revcomp/16S_F515DI13-16S_R806DI12.R1.fastq.gz",4686,"unused_tags_29","F13 R12"
"16SV4_revcomp/16S_F515DI13-16S_R806DI1.R1.fastq.gz",156807,"D10H_d1_r5","F13 R1"
