"sample_id","tags"
"1","unused_tags_1","F1 R1"
"2","D10H_d5_r1","F2 R1"
"3","H_d4_r4","F3 R1"
"4","D20H_d1_r3","F4 R1"
"5","D_d3_r4","F5 R1"
"6","D10H_d5_r5","F6 R1"
"7","D1H_d5_r1","F7 R1"
"8","D20H_d1_r2","F8 R1"
"9","D1H_d1_r3","F1 R2"
"10","unused_tags_2","F2 R2"
"11","HD_d3_r4","F3 R2"
"12","D10H_d4_r3","F4 R2"
"13","H_d2_r2","F5 R2"
"14","D20H_d3_r5","F6 R2"
"15","D20H_d5_r3","F7 R2"
"16","H_d2_r5","F8 R2"
"17","D1H_d1_r1","F1 R3"
"18","HD_d1_r1","F2 R3"
"19","unused_tags_3","F3 R3"
"20","D20H_d4_r4","F4 R3"
"21","D10H_d4_r4","F5 R3"
"22","H_d5_r2","F6 R3"
"23","D1H_d4_r1","F7 R3"
"24","HD_d1_r5","F8 R3"
"25","HD_d4_r5","F1 R4"
"26","HD_d5_r2","F2 R4"
"27","Tn_extr_2","F3 R4"
"28","unused_tags_4","F4 R4"
"29","D10H_d1_r1","F5 R4"
"30","Tn_extr_1","F6 R4"
"31","HD_d3_r3","F7 R4"
"32","NI_d1","F8 R4"
"33","H_d3_r5","F1 R5"
"34","tn_extr_3","F2 R5"
"35","D10H_d2_r3","F3 R5"
"36","H_d4_r5","F4 R5"
"37","unused_tags_5","F5 R5"
"38","D_d2_r5","F6 R5"
"39","HD_d1_r3","F7 R5"
"40","D20H_d2_r1","F8 R5"
"41","HD_d4_r3","F1 R6"
"42","H_d5_r1","F2 R6"
"43","D10H_d4_r2","F3 R6"
"44","HD_d4_r2","F4 R6"
"45","D1H_d2_r1","F5 R6"
"46","unused_tags_6","F6 R6"
"47","H_d5_r3","F7 R6"
"48","H_d5_r4","F8 R6"
"49","HD_d5_r5","F1 R7"
"50","D_d4_r3","F2 R7"
"51","NI_d7","F3 R7"
"52","D20H_d4_r1","F4 R7"
"53","D10H_d1_r2","F5 R7"
"54","H_d2_r1","F6 R7"
"55","unused_tags_7","F7 R7"
"56","D20H_d3_r3","F8 R7"
"57","H_d3_r1","F1 R8"
"58","H_d4_r1","F2 R8"
"59","HD_d2_r2","F3 R8"
"60","tn_extr_2","F4 R8"
"61","D20H_d2_r4","F5 R8"
"62","D10H_d1_r3","F6 R8"
"63","D10H_d1_r4","F7 R8"
"64","unused_tags_8","F8 R8"
"65","D_d5_r2","F1 R9"
"66","D_d3_r2","F2 R9"
"67","D1H_d5_r3","F3 R9"
"68","D_d2_r4","F4 R9"
"69","D1H_d2_r3","F5 R9"
"70","D10H_d4_r5","F6 R9"
"71","unused_tags_9","F7 R9"
"72","D1H_d5_r2","F8 R9"
"73","H_d3_r2","F1 R10"
"74","HD_d2_r5","F2 R10"
"75","D1H_d3_r2","F3 R10"
"76","D20H_d3_r1","F4 R10"
"77","D_d1_r3","F5 R10"
"78","unused_tags_10","F6 R10"
"79","D20H_d4_r5","F7 R10"
"80","H_d3_r3","F8 R10"
"81","D_d2_r3","F1 R11"
"82","D20H_d2_r2","F2 R11"
"83","H_d1_r1","F3 R11"
"84","D1H_d4_r3","F4 R11"
"85","unused_tags_11","F5 R11"
"86","H_d4_r2","F6 R11"
"87","D10H_d5_r3","F7 R11"
"88","H_d3_r4","F8 R11"
"89","D_d3_r1","F1 R12"
"90","D1H_d4_r5","F2 R12"
"91","D1H_d3_r1","F3 R12"
"92","unused_tags_12","F4 R12"
"93","D_d5_r3","F5 R12"
"94","HD_d5_r3","F6 R12"
"95","D10H_d3_r4","F7 R12"
"96","neg_ctrl_PCR","F8 R12"
"97","unused_tags_13","F9 R1"
"98","D1H_d4_r2","F10 R1"
"99","HD_d3_r5","F11 R1"
"100","D_d4_r4","F12 R1"
"101","D10H_d1_r5","F13 R1"
"102","D20H_d2_r3","F14 R1"
"103","D20H_d5_r5","F15 R1"
"104","HD_d2_r3","F16 R1"
